Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:14300000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;DataLiq;HoraLiq;NumMedicaoLiq;Cota;Vazao;AreaMolhada;Largura;VelMedia;ConcentracaoMatSuspensao;CotaDeMedicao;TemperaturaDaAgua;ConcentracaoDaAmostraExtra;CondutividadeEletrica;Observacoes
14300000;1;18/08/1995;01/01/1900 07:00;26;18/08/1995;01/01/1900 07:00;56;479;"70,0";"139,0";"59,9";"0,5";"7,2";;;;;
14300000;1;09/06/1995;01/01/1900 07:00;25;09/06/1995;01/01/1900 07:00;55;896;"204,0";"408,0";"69,8";"0,505";"5,41";;;;;
14300000;1;26/10/1994;01/01/1900 07:00;24;26/10/1994;01/01/1900 07:00;54;629;"126,0";"231,0";"61,3";"0,546";"7,16";;;;;
14300000;1;20/06/1994;01/01/1900 07:00;23;20/06/1994;01/01/1900 07:00;53;908;"231,0";"413,0";"70,3";"0,56";"3,51";;;;;
14300000;1;02/03/1994;01/01/1900 07:00;22;02/03/1994;01/01/1900 07:00;52;513;"79,6";"160,0";"60,4";"0,499";"8,42";;;;;
14300000;1;01/01/1994;01/01/1900 07:00;21;01/01/1994;01/01/1900 07:00;51;426;"42,4";"102,0";"57,0";"0,417";"3,18";;;;;
14300000;1;20/05/1993;01/01/1900 07:00;20;20/05/1993;01/01/1900 07:00;50;761;"158,0";"315,0";"65,5";"0,503";"4,8";;;;;
14300000;1;18/12/1992;01/01/1900 07:00;19;18/12/1992;01/01/1900 07:00;49;746;"122,0";"302,0";"65,0";"0,405";"2,46";;;;;
14300000;1;24/08/1992;01/01/1900 07:00;18;24/08/1992;01/01/1900 07:00;48;716;"116,0";"268,0";"64,0";"0,433";"2,9";;;;;
14300000;1;12/10/1991;01/01/1900 07:00;17;12/10/1991;01/01/1900 07:00;47;453;"44,8";"115,0";"58,0";"0,391";"8,18";;;;;
14300000;1;16/11/1990;01/01/1900 07:00;16;16/11/1990;01/01/1900 07:00;46;496;"61,5";"144,0";"59,2";"0,428";"3,37";;;;;
14300000;1;28/02/1990;01/01/1900 07:00;15;28/02/1990;01/01/1900 07:00;44;409;"31,3";"95,6";"55,5";"0,327";"8,37";;;;;
14300000;1;23/06/1989;01/01/1900 07:00;14;23/06/1989;01/01/1900 07:00;42;1144;"467,0";"584,0";"84,4";"0,8";"5,33";;;;;
14300000;1;03/03/1989;01/01/1900 07:00;13;03/03/1989;01/01/1900 07:00;41;618;"104,0";"220,0";"61,9";"0,471";"5,1";;;;;
14300000;1;13/06/1988;01/01/1900 07:00;12;13/06/1988;01/01/1900 07:00;40;651;"108,0";"232,0";"62,3";"0,465";"3,25";;;;;
14300000;1;02/10/1987;01/01/1900 07:00;11;02/10/1987;01/01/1900 07:00;37;723;"120,0";"282,0";"64,2";"0,427";"17,87";;;;;
14300000;1;21/07/1987;01/01/1900 07:00;10;21/07/1987;01/01/1900 07:00;36;628;"107,0";"221,0";"62,0";"0,486";"6,32";;;;;
14300000;1;16/04/1987;01/01/1900 07:00;9;16/04/1987;01/01/1900 07:00;35;678;"112,0";"252,0";"62,8";"0,442";"4,55";;;;;
14300000;1;11/02/1987;01/01/1900 07:00;8;11/02/1987;01/01/1900 07:00;34;640;"108,0";"232,0";"62,1";"0,465";"35,05";;;;;
14300000;1;18/10/1986;01/01/1900 07:00;7;18/10/1986;01/01/1900 07:00;33;575;"97,0";"192,0";"61,0";"0,509";"6,04";;;;;
14300000;1;17/04/1986;01/01/1900 07:00;6;17/04/1986;01/01/1900 07:00;32;609;"125,0";"212,0";"61,9";"0,59";"5,99";;;;;
14300000;1;23/02/1986;01/01/1900 07:00;5;23/02/1986;01/01/1900 07:00;31;848;"202,0";"363,0";"68,4";"0,556";"2,42";;;;;
14300000;1;20/12/1985;01/01/1900 07:00;4;20/12/1985;01/01/1900 07:00;30;405;"38,4";"91,8";"55,0";"0,418";"2,02";;;;;
14300000;1;21/09/1985;01/01/1900 07:00;3;21/09/1985;01/01/1900 07:00;29;583;"111,0";"193,0";"61,3";"0,576";"6,43";;;;;
